chunk_id,summary,book_id,book_title,relation_extractor_type,validation_llm_engine,moderation_llm_engine,moderation_strategy,graph_lookup_mode,verbalize_triples_mode,summary_llm_engine,source_text_visible,triples_visible,temperature,reasoning_effort,model_name,seed,chunk_selection_method,configuration,rougeL_recall,bertscore,novel_ngrams,jsd_stats,entity_coverage,entity_hallucination,ncd_overlap,salience_recall,nli_faithfulness,readability_delta,sentence_coherence,entity_grid_coherence,lexical_diversity,stopword_ratio,bookscore,run_id
story-1_book-2_chapter-6_p.51226,"A group uses magical spells in connection with goats and geese, while Ingoldsby is mentioned as someone to be found. They trace figures and track them, and there is an act described as stealing involving a new stick of chalk. The speaker does not know the reason, and does not know or see certain things. They have an intent regarding ends and ultimately hurt somebody.",2,The Phoenix and the Carpet,textacy,openai,openai,drop,popular,raw,openai,False,True,1,minimal,gpt-5-nano,123,random-30,fast,0.0964285714285714,-0.1366332322359085,0.9285714285714286,0.4494598345601611,0.125,0.5,0.8974025974025974,0.4,0.75,-2.5242134468584894,0.1942804306745529,0.0,0.75,0.4305555555555556,0.0,2025-12-17T08:07:23.003512
story-1_book-2_chapter-8_p.80565,"In the scene, Ingoldsby is pursued, while figures are traced and chalk marks are used. A sense of mystery surrounds the events, with references to unknown reasons and unseen hurts. Parrot feathers are tucked into hair as a dance begins, described as something the narrator has never seen. The dance makes the children feel almost convinced that Cook was right and leads to a sense that they are dreaming. During the commotion, someone is harmed, the queen claps wildly, and she proclaims Brayvo Brayvo’s superiority over Albert Edward Music Hall. The queen is promised that the finest things will be hers, leaves a white escort, and goes with others to huts.",2,The Phoenix and the Carpet,textacy,openai,openai,drop,popular,raw,openai,False,True,1,minimal,gpt-5-nano,123,random-30,fast,0.1973684210526315,0.1347194015979766,0.9761904761904762,0.4391642958920453,0.0,1.0,0.844213649851632,0.45,0.1666666666666666,-1.69937584845119,0.2827867269515991,0.0,0.6640625,0.3828125,0.1666666666666666,2025-12-17T08:07:58.280446
story-1_book-2_chapter-6_p.88373,"The speaker reveals that they are being tracked by Ingoldsby and that figures were traced and given something. The speaker is told something, and it is implied that it has brought consequences for others. There is confusion about the reason, and some people chant gloomy songs. The speaker cannot see or know certain things, but they have ends and parrot feathers are stuck in hair as part of a dance. The dance is described as something the speaker has never seen, but it makes the children feel confident that the cook was right, and it leads to a sense that they are all in a dream. Somebody is hurt, and the queen applauds loudly and laments that Brayvo Brayvo is better than Albert Edward Music Hall in Kentish Town Road. The queen is promised that the finest shall be hers, and she leaves her white escort and goes to huts. The speaker feels compelled to listen to everything, but they do not want someone else, and they will not go with them. They have sat down, intend to stay there, and have some use for a carpet. The speaker mentions obtaining a prince, pronouncing the word prince, laying an egg, and that the egg is put, but cannot be hatched due to a fire egg. The speaker knows more.",2,The Phoenix and the Carpet,textacy,openai,openai,drop,popular,raw,openai,False,True,1,minimal,gpt-5-nano,123,random-30,fast,0.132890365448505,0.0276452302932739,0.979591836734694,0.4187852484595377,0.0,1.0,0.8940886699507389,0.45,0.3636363636363636,0.4741512730040114,0.213575005531311,0.0,0.5303643724696356,0.4736842105263157,0.1818181818181817,2025-12-17T08:11:12.999879
story-1_book-2_chapter-14_p.90686,"In the story fragment, the narrator and others discuss various actions and statements. The narrator shows reluctance about certain tasks and money-forfood options, and suggests alternatives like fourpence or fippence for mixed kale. A parson might be taken, while some lines indicate deception is possible, and that someone refuses to deceive. The narrative involves obtaining Ingoldsby, tracing figures, and giving or telling information. There are references to stealing a new stick of chalk and not seeing or hurting certain things, with ends in sight and parrot feathers stuck in hair. A dance is described as having never been seen before, making children feel the cook was right, and leading to a sense that they are in a dream. At times somebody is hurt, and there is a directive to listen to everything. Characters do not want someone else, and there is an assertion of recognition or ability to see what is happening, though some things cannot be acted on or understood. The narrator claims not to want London society and mentions having a lot, including wings, a prince, and laying or putting an egg that cannot be hatched as a fire egg. The narrator expresses uncertainty about saying more, and acknowledges knowing more and being more, while stating that it is impossible to understand or say more about certain statements. Overall, themes include desire and refusal, magical or fantastical elements (wings, a prince, an unhatched egg), social tensions, and the perception that some events occur in a dreamlike or surreal context.",2,The Phoenix and the Carpet,textacy,openai,openai,drop,popular,raw,openai,False,True,1,minimal,gpt-5-nano,123,random-30,fast,0.1224489795918367,-0.0840175449848175,0.9860627177700348,0.4653943959339269,0.2,0.5,0.8862199747155499,0.5,0.5454545454545454,-4.704907642158638,0.2457723319530487,0.0,0.5501730103806228,0.4083044982698962,0.3636363636363636,2025-12-17T08:12:03.015985
story-1_book-2_chapter-17_p.93136,"A narrator (I) interacts with others about a mix of plans and observations. They discuss not wanting to join expensive or odd tasks for mixed kale, and acknowledge potential help from a parson. The narrator claims not to deceive and notes having friends, beak-claws, and various uncertain or unspoken knowledge. Phoenix repeatedly appears, exerting inner courage, offering guidance about fires and altars, and declaring that a house rises from ashes; Phoenix translates a request but initially refuses to translate it into copper-colored language. The group traces figures, gives things, and the narrator tells something, which had brought them together. There is attention to a possibly insane millionaire due to carpet use, and plans to obtain Ingoldsby. Parrot feathers are worn, a dance begins, and someone is hurt. The narrator and others express a desire to avoid London society, and there are mentions of wings, a prince, and a fire egg that cannot be hatched. Overall, the scene involves seeking guidance, dealing with transformation and loss, and navigating social expectations and strange tasks.",2,The Phoenix and the Carpet,textacy,openai,openai,drop,popular,raw,openai,False,True,1,minimal,gpt-5-nano,123,random-30,fast,0.1525423728813559,0.0168981458991765,1.0,0.5085468277374329,0.3333333333333333,0.6666666666666666,0.915,0.45,0.2222222222222222,-0.2503505224132105,0.2595526278018951,0.0,0.6206896551724138,0.3448275862068966,0.3333333333333333,2025-12-17T08:14:58.239622
story-1_book-2_chapter-10_p.43451,"A narrator expresses reluctance to travel for modest compensation and indicates they do not mind a potentially dangerous or prestigious assignment. They claim to have friends and possess beak and claws. A phoenix character shows resolve, offers guidance about fires and altars, and declares that house rises from ashes. The narrator expects to obtain something called Ingoldsby and mentions being told and having it brought to them. There is activity involving chalk, deception is denied, and someone takes or receives something. The parties chant gloomy songs, do not see or feel hurt, and some parrot feathers are stuck in hair as a dance begins and someone is harmed. The phoenix refuses to translate a request into copper-colored language but does translate the request. The narrator is obliged to listen to everyone, others do not want anyone else, and there is an assertion of seeing something. The narrator refuses to go with another party, others sit and plan to stay, and there is use for a carpet. A character desires wings and claims to have them, receives a prince, and lays an egg that cannot be hatched into a fire egg. The narrator states they cannot say more, knows more, and feels more powerful. They cannot understand certain sayings, do not want London society, and have a lot, but do not grow broccoli as well.",2,The Phoenix and the Carpet,textacy,openai,openai,drop,popular,raw,openai,False,True,1,minimal,gpt-5-nano,123,random-30,fast,0.1235955056179775,-0.0534070767462253,0.9921259842519684,0.4785059874042678,0.1,0.5,0.900990099009901,0.4,0.1666666666666666,-3.725658907241062,0.2773827910423279,0.0,0.53515625,0.421875,0.4166666666666666,2025-12-17T08:14:59.341013
story-1_book-2_chapter-7_p.09934,"A speaker expresses various intentions and limitations, stressing modest ambitions and a need for rest and practice. A focus character, Phoenix, shows resilience and offers guidance about fires and altars, while Robert engages cautiously, feeling shy at times and proposing practical actions like cleaning front steps. They discuss living conditions and social expectations, with a sense of constraint and past restrictions on actions. The group engages in small tasks—moving a table, tracing figures, placing parrot feathers in hair—and participates in a dance and chant of gloomy songs. Some items reference secrets, stealth, and theft-like notions, but there is also insistence on honesty (I don’t deceive you) and a translation of a request by Phoenix. A prince is obtained and laid as an egg, though the egg cannot be hatched, indicating an incomplete or symbolic outcome. Overall, the narrative centers on cautious collaboration, personal limitations, and symbolic movements within a constrained social world.",2,The Phoenix and the Carpet,textacy,openai,openai,drop,popular,raw,openai,False,True,1,minimal,gpt-5-nano,123,random-30,fast,0.0926640926640926,-0.0724743977189064,0.9887640449438202,0.5326254312644759,0.1428571428571428,0.5,0.897196261682243,0.25,0.2857142857142857,-6.468042031307778,0.2061793357133865,0.5,0.6722222222222223,0.3222222222222222,0.5714285714285714,2025-12-17T08:16:19.646033
story-1_book-2_chapter-15_p.93173,"A narrator and a group of characters, including Phoenix, Robert, and Psammead, engage in a mix of plans, conversations, and actions. Phoenix exerts courage and offers guidance about fires and altars, while Robert expresses feelings of shyness and practical concerns about access to resources. The group discusses and recalls prior interactions, and they prepare for various tasks, such as cleaning, organizing, and lighting candles. They express skepticism about London society and the need to remain practical and cautious, with some tension over belonging and decision-making. Throughout, there are themes of memory, reliability, and the challenge of translating or communicating intentions, as well as moments of cooperation, affection, and conflict (including hurting someone and dancing). A magical or folkloric element appears with the Psammead, including its past presence, wishes, and the idea of taking or using chalk sticks, eggs, and possibly hatching, within a domestic setting that includes a father’s old hatbox and a home where the mother eventually returns. The characters show a mix of determination, playfulness, and restraint as they navigate goals, limits, and social expectations.",2,The Phoenix and the Carpet,textacy,openai,openai,drop,popular,raw,openai,False,True,1,minimal,gpt-5-nano,123,random-30,fast,0.1296296296296296,-0.016355462372303,0.985981308411215,0.463673235407783,0.3333333333333333,0.25,0.8973684210526316,0.55,0.5714285714285714,-8.114140865471665,0.2849979102611542,0.3333333333333333,0.5740740740740741,0.3333333333333333,0.5714285714285714,2025-12-17T08:17:35.086322
story-1_book-2_chapter-16_p.42596,"A narrator and Phoenix interact with Robert and others in a fantastical setting. The tone mixes whimsy and challenge: Phoenix exerts courage and offers guidance about fires and altars, while Robert shows mixed feelings—at times shy, cold in certain social settings, yet capable (he can play a goat, invite and accompany others, and move objects). There is a strong thread of preparation and caution: statements about needing rest, being out of practice, and remembering a long-ago conversation. They plan and discuss, but indecision appears about seating and placement at times.

Key events and motifs:
- Phoenix demonstrates resilience and self-reassurance, offering guidance and eventually becoming a competent bird.
- Robert and others acknowledge and discuss feelings, with moments of doubt and cautious optimism.
- They interact in domestic and social scenes: moving a table, tidying, washing, lighting candles, and going to or from a theatre and a home.
- There is mention of a Psammead figure, with familial connections and references to magical or fantastical elements (e.g., wishes, chalk). 
- A sense of adventure and storytelling prevails, though not all plans or wishes are clearly realized; some actions are deferred or uncertain.
- Recurrent themes include modesty and restraint (avoiding London society, not wanting to be overwhelmed, and careful listening).

Overall, the text portrays a near-dreamlike sequence of relationships, magical elements, and personal introspection, with Phoenix playing a central guiding role and Robert navigating social and personal complexities while parties prepare for upcoming events.",2,The Phoenix and the Carpet,textacy,openai,openai,drop,popular,raw,openai,False,True,1,minimal,gpt-5-nano,123,random-30,fast,0.12109375,-0.044492233544588,1.0,0.5192267543842297,0.2857142857142857,0.5,0.922077922077922,0.45,0.2727272727272727,-6.570862761526897,0.2787004709243774,0.3333333333333333,0.5620689655172414,0.3034482758620689,0.5454545454545454,2025-12-17T08:21:02.799969
story-1_book-2_chapter-16_p.81885,"In this segment, a narrator (I) interacts with a bird-like creature named Psammead and a character named Robert, among others. Key events include:

- Phoenix (a competent bird) interacts with and assists the narrator, offering guidance about fires and altars, and exerting confidence to uplift itself.
- Robert engages with the situation: he feels shy at times, moves furniture, prepares the home, and proposes practical steps like cleaning doorsteps. He is curious about a supposed carpeted issue and whether someone is insane or a millionaire. He has never been allowed to do certain things, but is occasionally allowed to act.
- The group undertakes preparations: lighting and hiding candles, washing, tidying clothes, and arranging things. They note the Psammead’s value and refer to it with familiar terms. They express relief and safety, especially after events involving a mother figure returning home.
- They discuss and recall past adventures, with mentions of a “take_new_stick_of_chalk” and a warning about stealing. They eventually settle into a homeward path from theatre to home.
- There are moments of hesitation and uncertainty: some things are unknown or not seen, and there’s a reluctance to reveal or translate certain requests. They decide to tell their parents about certain events, and there is a refrain of not wanting or not knowing certain aspects (e.g., London society, wood, hurting someone, or growing broccoli).
- The narrator asserts honesty and several personal stakes: they have a prince, lay an egg (metaphorically or literally), and discuss hatchability of a fire egg. There is a sense of personal limits: not wanting to go to London society, not fully able to say more, and a recognition of needing rest and quiet for a short while.
- Overall mood: a blend of precaution, curiosity, and fantasy elements (talking birds, magical objects) within a domestic and adventurous frame.",2,The Phoenix and the Carpet,textacy,openai,openai,drop,popular,raw,openai,False,True,1,minimal,gpt-5-nano,123,random-30,fast,0.1240310077519379,-0.0612549036741256,1.0,0.5176893940794871,0.1666666666666666,0.8,0.919080919080919,0.45,0.0666666666666666,-7.89807890865173,0.2122236341238021,0.1428571428571428,0.529891304347826,0.3396739130434782,0.4666666666666667,2025-12-17T08:21:45.190987
